stop_name,parent_station,zone_id,stop_id,stop_desc,stop_lat,stop_lon,location_type,platform_code
Kurubarahalli Cross,,KBHC1,28417,Kurubarahalli Cross (Towards Dodda Byalakere),13.1267,77.51961,,
Kurubarahalli Cross,,KBHC1,33638,Kurubarahalli Cross (Towards MS Palya),13.12676,77.51959,,
Kurubarahalli Cross,,KBHC1,33639,Kurubarahalli Cross (Towards Shivakote),13.12672,77.51956,,
Kurubarakunte Cross (Narsari),,YLRGT2,22826,Kurubarakunte Cross (Narsari) (Towards Devanahalli),13.26681,77.74152,,
Kurubarakunte Cross (Narsari),,YLRGT2,22827,Kurubarakunte Cross (Narsari) (Towards Vijayapura),13.26679,77.74136,,
Kurubarapalya,,KRDP0,28419,Kurubarapalya (Towards Sulivara),12.91143,77.36276,,
Kurubarapalya,,KRDP0,33640,Kurubarapalya (Towards Chandrappa Circle),12.9114,77.36269,,
Kurubarapalya Cross,,KRBRPC,28421,Kurubarapalya Cross (Towards Huluvenahalli Gate),12.91392,77.36736,,
Kurubarapalya Cross,,KRBRPC,33641,Kurubarapalya Cross (Towards Chandrappa Circle),12.91395,77.36738,,
Kurudu Sonnenahalli,,KSH,33642,Kurudu Sonnenahalli (Towards KR Puram),13.014,77.73233,,
Kurudu Sonnenahalli,,KSH-1,28423,Kurudu Sonnenahalli (Towards Kadugodi Bus Station),13.0141,77.73228,,
Kurudu Sonnenahalli Cross,,KDSC2,38672,Kurudu Sonnenahalli Cross (Towards Kurudu Sonnenahalli),13.02057,77.72096,,
Kurudu Sonnenahalli Cross,,KDSC2,38673,Kurudu Sonnenahalli Cross (Towards Medahalli),13.02057,77.72094,,
Kutaganahalli Cross,,KTHCR4,24028,Kutaganahalli Cross (Towards Sarjapura),12.89751,77.79052,,
Kutaganahalli Cross,,KTHCR4,24033,Kutaganahalli Cross (Towards Kamanahalli Gate),12.89752,77.79048,,
Kuthaganahalli,,KTGNLI,24030,Kuthaganahalli (Towards Mugaluru),12.88893,77.80201,,
Kuthaganahalli,,KTGNLI,24031,Kuthaganahalli (Towards Nerige),12.88902,77.80211,,
Kuvempu Circle,,KVMC,33643,Kuvempu Circle (Towards RR Gate),12.90994,77.521,,
Kuvempu Circle,,KVMC,33644,Kuvempu Circle (Towards Ganakal),12.90995,77.52104,,
Kuvempu Circle,,KVPC1,28426,Kuvempu Circle (Towards Devasandra Chikkamaranahalli),13.04337,77.56138,,
Kuvempu Circle,,KVPC1,31389,Kuvempu Circle (Towards BEL Circle 1),13.04319,77.56131,,
Kuvempu Circle,,KVPCR1,20961,Kuvempu Circle (Towards Hebbala),13.04465,77.56263,,
Kuvempu Circle,,KVPCR1,20962,Kuvempu Circle (Towards BEL Circle),13.04457,77.56281,,
Kuvempunagara,,KVMP,28428,Kuvempunagara (Towards Gangamma Circle),13.0695,77.54144,,
